Designator,Mid X,Mid Y,Rotation,Layer
C1,114.935,-103.251,270.0,top
C10,92.456,-101.981,270.0,top
C11,91.059,-99.949,0.0,top
C12,88.773,-97.282,90.0,top
C2,114.681,-106.553,270.0,top
C3,89.789,-105.41,180.0,top
C4,89.281,-104.14,180.0,top
C5,104.267,-106.426,90.0,top
C6,93.472,-102.997,90.0,top
C7,102.616,-107.404001,180.0,top
C8,103.378,-97.409,315.0,top
C9,96.369,-95.847,0.0,top
J1,86.995,-101.6,270.0,top
J2,120.813,-101.6,90.0,top
R1,98.274,-95.847001,180.0,top
R2,107.188,-100.203,0.0,top
R3,93.345,-98.425,270.0,top
R4,116.459,-95.758,0.0,top
R5,116.457001,-107.442,0.0,top
U1,109.474,-104.394,0.0,top
U2,99.187,-101.6,270.0,top
U3,113.284,-97.79,270.0,top
Y1,91.059,-97.282,90.0,top
